Category,Annual Mean,5-yr smooth
1901,21.96,21.93
1902,21.9,21.9
1903,21.79,21.87
1904,21.82,21.85
1905,21.83,21.83
1906,21.95,21.81
1907,21.76,21.81
1908,21.8,21.81
1909,21.83,21.82
1910,21.72,21.83
1911,21.91,21.86
1912,21.95,21.89
1913,21.97,21.92
1914,21.79,21.96
1915,21.97,22
1916,22.2,22.03
1917,22.05,22.04
1918,22.01,22.05
1919,22.08,22.04
1920,22.01,22.04
1921,21.8,22.03
1922,22.15,22.04
1923,22.04,22.05
1924,22.17,22.07
1925,22.1,22.1
1926,22.16,22.13
1927,22.26,22.15
1928,22.19,22.17
1929,21.96,22.18
1930,22.14,22.18
1931,22.25,22.18
1932,22.14,22.17
1933,22.1,22.15
1934,22.19,22.14
1935,22.15,22.12
1936,22.14,22.11
1937,22.22,22.1
1938,22.05,22.1
1939,22.16,22.11
1940,21.98,22.13
1941,22.07,22.14
1942,22.15,22.15
1943,22.2,22.16
1944,22,22.15
1945,22.03,22.13
1946,22.34,22.11
1947,22.78,22.08
1948,21.73,22.05
1949,21.64,22.02
1950,21.73,21.99
1951,22.24,21.97
1952,22.17,21.96
1953,21.81,21.96
1954,21.65,21.98
1955,22.68,22.01
1956,21.79,22.04
1957,21.94,22.08
1958,22.32,22.1
1959,21.73,22.11
1960,22.45,22.1
1961,21.7,22.07
1962,22.2,22.04
1963,22.4,22.02
1964,21.82,22
1965,21.84,22.01
1966,22.2,22.03
1967,21.66,22.05
1968,22.11,22.07
1969,22.54,22.07
1970,21.9,22.05
1971,21.8,22
1972,22.16,21.95
1973,21.79,21.9
1974,21.87,21.86
1975,21.81,21.86
1976,21.79,21.88
1977,22,21.93
1978,21.96,21.99
1979,22.41,22.05
1980,21.97,22.1
1981,22.17,22.13
1982,22.17,22.15
1983,21.87,22.16
1984,22.02,22.16
1985,22.28,22.17
1986,22.13,22.18
1987,22.27,22.2
1988,22.52,22.23
1989,22.21,22.26
1990,22.58,22.29
1991,22.29,22.33
1992,21.78,22.37
1993,22.43,22.41
1994,22.56,22.46
1995,22.58,22.53
1996,22.62,22.61
1997,22.61,22.7
1998,22.93,22.79
1999,23.25,22.88
2000,22.48,22.95
2001,23.17,23
2002,23.02,23.02
2003,23.07,23.02
2004,22.93,23
2005,22.85,22.99
2006,22.84,22.99
2007,22.97,23
2008,23.12,23.03
2009,23.08,23.06
2010,23.98,23.09
2011,22.53,23.09
2012,22.88,23.05
2013,22.96,22.99
2014,22.89,22.9
2015,22.57,22.82
2016,23,22.75
2017,22.56,22.71
2018,23.05,22.71
2019,22.65,22.73
2020,22.63,22.78
2021,23.05,22.85
2022,22.8,22.92
