Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1961,1961,°c,0.006,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1962,1962,°c,0.257,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1963,1963,°c,1.63,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1964,1964,°c,-0.935,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1965,1965,°c,0.753,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1966,1966,°c,0.783,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1967,1967,°c,-1.367,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1968,1968,°c,-1.681,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1969,1969,°c,-0.298,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1970,1970,°c,2.304,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1971,1971,°c,0.544,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1972,1972,°c,0.357,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1973,1973,°c,-0.246,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1974,1974,°c,-0.162,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1975,1975,°c,-0.973,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1976,1976,°c,-1.123,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1977,1977,°c,0.858,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1978,1978,°c,0.302,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1979,1979,°c,1.272,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1980,1980,°c,-0.221,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1981,1981,°c,-2.901,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1982,1982,°c,0.709,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1983,1983,°c,-2.326,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1984,1984,°c,-1.173,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1985,1985,°c,0.763,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1986,1986,°c,-0.099,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1987,1987,°c,-0.166,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1988,1988,°c,0.777,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1989,1989,°c,-1.598,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1990,1990,°c,0.572,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1991,1991,°c,-0.608,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1992,1992,°c,-1.182,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1993,1993,°c,-0.979,E,Estimated value
